geo_aggregation_level,industry_code,industry_complexity,industry_ubiquity,industry_centrality,industry_description
1,111000,-2.30546026951172,1640,0.00126965723039291,Crop Production
1,112000,-2.41177654789039,1700,0.00124514215135018,Animal Production
1,113110,-1.33581067857597,668,0.00121846167943042,Timber Tract Operations
1,113210,-1.07360909338122,462,0.00114210346442405,Forest Nurseries and Gathering of Forest Products
1,113310,-1.95653363947896,1367,0.00130140092167721,Logging
1,114111,-1.0452276567258,506,0.00111508941080349,Finfish Fishing
1,114112,-1.22604980227259,421,0.0009615325851063,Shellfish Fishing
1,114119,0.0995572054988937,186,0.000817549903623265,Other Marine Fishing
1,114210,-1.74444933340692,972,0.00128970468480003,Hunting and Trapping
1,115111,-2.1436901462229,342,0.00071282036617439,Cotton Ginning
1,115112,-2.48284089430094,1443,0.00123901027759573,"Soil Preparation, Planting, and Cultivating"
1,115113,-2.51306631438237,501,0.000893521887138688,"Crop Harvesting, Primarily by Machine"
1,115114,-2.09718041676467,468,0.000913774072231534,Postharvest Crop Activities (except Cotton Ginning)
1,115115,-2.68063566752534,1800,0.0011796204389232,Farm Labor Contractors and Crew Leaders
1,115116,-2.24874588721935,560,0.000970644759699007,Farm Management Services
1,115210,-2.131639791453,1607,0.00132747892004576,Support Activities for Animal Production
1,115310,-1.74918561571881,900,0.00123159933912499,Support Activities for Forestry
1,211120,-2.45933133118595,377,0.000764226169743789,Crude Petroleum Extraction
1,211130,-1.93744449570665,326,0.000787164384971205,Natural Gas Extraction
1,212114,-1.59563537654188,130,0.000395427645466446,Surface Coal Mining
1,212115,-1.32770604203642,88,0.000283472461341415,Underground Coal Mining
1,212210,-0.0601070093505471,18,9.31468198785626e-05,Iron Ore Mining
1,212220,-1.42120748184812,56,0.000179189314892275,Gold Ore and Silver Ore Mining
1,212230,-0.754768304318723,40,0.000171066512023167,"Copper, Nickel, Lead, and Zinc Mining"
1,212290,-0.911325598597928,58,0.000233530650717098,Other Metal Ore Mining
1,212311,-1.29436511827403,283,0.000801318764129675,Dimension Stone Mining and Quarrying
1,212312,-1.20148231200016,587,0.00117960151292977,Crushed and Broken Limestone Mining and Quarrying
1,212313,0.18881548200637,182,0.000757391719518074,Crushed and Broken Granite Mining and Quarrying
1,212319,-0.741790166346698,298,0.000971397813486642,Other Crushed and Broken Stone Mining and Quarrying
1,212321,-1.30899664831252,863,0.00139682049742871,Construction Sand and Gravel Mining
1,212322,-1.02679538545934,136,0.000531633528305146,Industrial Sand Mining
1,212323,-1.17124198946663,98,0.000385575422782642,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
1,212390,-1.22111834824782,212,0.000673867585037198,Other Nonmetallic Mineral Mining and Quarrying
1,213111,-2.18687012700279,431,0.000875618607484208,Drilling Oil and Gas Wells
1,213112,-2.54006693601769,541,0.000900582484242829,Support Activities for Oil and Gas Operations
1,213113,-1.33091710291613,150,0.000491641113557169,Support Activities for Coal Mining
1,213114,-0.737408129390803,109,0.000441788912189808,Support Activities for Metal Mining
1,213115,-0.535528421898232,185,0.000742208979887557,Support Activities for Nonmetallic Minerals (except Fuels) Mining
1,221111,-0.855880210801877,270,0.000849134015887617,Hydroelectric Power Generation
1,221112,-0.786808293437724,463,0.00117248644355196,Fossil Fuel Electric Power Generation
1,221113,0.464202412233057,63,0.000362081171765806,Nuclear Electric Power Generation
1,221114,0.489185020737065,173,0.000835936576898679,Solar Electric Power Generation
1,221115,-1.73364152691807,229,0.000665980512866762,Wind Electric Power Generation
1,221116,-0.080255010546265,28,0.00016493906983553,Geothermal Electric Power Generation
1,221117,0.296946543309255,100,0.000531049890603186,Biomass Electric Power Generation
1,221118,0.882790836939252,123,0.00071290818972533,Other Electric Power Generation
1,221121,-0.499016848896106,249,0.000892800430973501,Electric Bulk Power Transmission and Control
1,221122,-1.72506577242054,1486,0.00138677481351639,Electric Power Distribution
