geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
1	111000	Crop Production	1640	0.00507595938158635	-2.30546026951172	0.95
1	112000	Animal Production	1700	0.00265160687353591	-2.41177654789039	0.84
1	113110	Timber Tract Operations	668	2.52976512467405e-05	-1.33581067857597	9.5
1	113210	Forest Nurseries and Gathering of Forest Products	462	1.70371936967844e-05	-1.07360909338122	16.16
1	113310	Logging	1367	0.000357000913308311	-1.95653363947896	2.75
1	114111	Finfish Fishing	506	6.95656727141094e-05	-1.0452276567258	17.32
1	114112	Shellfish Fishing	421	6.79996276369302e-05	-1.22604980227259	11.83
1	114119	Other Marine Fishing	186	9.52247189786605e-06	0.0995572054988937	50.9
1	114210	Hunting and Trapping	972	3.84857011823996e-05	-1.74444933340692	4.75
1	115111	Cotton Ginning	342	3.50151617256472e-05	-2.1436901462229	1.69
1	115112	Soil Preparation, Planting, and Cultivating	1443	0.000198233771912384	-2.48284089430094	0.63
1	115113	Crop Harvesting, Primarily by Machine	501	6.93591612753605e-05	-2.51306631438237	0.42
1	115114	Postharvest Crop Activities (except Cotton Ginning)	468	0.000493057532870713	-2.09718041676467	2.11
1	115115	Farm Labor Contractors and Crew Leaders	1800	0.00196368858891904	-2.68063566752534	0.11
1	115116	Farm Management Services	560	0.000132534452245962	-2.24874588721935	1.27
1	115210	Support Activities for Animal Production	1607	0.000251450622392205	-2.131639791453	1.9
1	115310	Support Activities for Forestry	900	0.000144282658539233	-1.74918561571881	4.54
1	211120	Crude Petroleum Extraction	377	0.000485347772490754	-2.45933133118595	0.74
1	211130	Natural Gas Extraction	326	0.000218982435077794	-1.93744449570665	2.96
1	212114	Surface Coal Mining	130	0.000105544554487251	-1.59563537654188	5.7
1	212115	Underground Coal Mining	88	0.000133067940129397	-1.32770604203642	9.82
1	212210	Iron Ore Mining	18	3.04661736443172e-05	-0.0601070093505471	46.25
1	212220	Gold Ore and Silver Ore Mining	56	9.45191382296018e-05	-1.42120748184812	8.66
1	212230	Copper, Nickel, Lead, and Zinc Mining	40	0.000115497258549178	-0.754768304318723	23.97
1	212290	Other Metal Ore Mining	58	2.75291220709995e-05	-0.911325598597928	19.54
1	212311	Dimension Stone Mining and Quarrying	283	4.49334472144487e-05	-1.29436511827403	10.77
1	212312	Crushed and Broken Limestone Mining and Quarrying	587	0.000138311036102077	-1.20148231200016	12.57
1	212313	Crushed and Broken Granite Mining and Quarrying	182	3.6816400385846e-05	0.18881548200637	54.38
1	212319	Other Crushed and Broken Stone Mining and Quarrying	298	4.77328244952671e-05	-0.741790166346698	24.5
1	212321	Construction Sand and Gravel Mining	863	0.000193145559518765	-1.30899664831252	10.35
1	212322	Industrial Sand Mining	136	5.17540611220166e-05	-1.02679538545934	17.74
