geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
3,33860,"Montgomery, AL Metro Area",210,0.418382973110755,72.54,-0.341813132129355,85.73
3,19300,"Daphne-Fairhope-Foley, AL Metro Area",245,0.58520900665067,76.43,-3.87788536898851,69.62
3,21640,"Eufaula, AL-GA Micro Area",98,-0.97334784229907,13.73,-9.19390242653355,20
3,13820,"Birmingham, AL Metro Area",280,0.246565329598298,67.68,12.4658087190952,99.35
3,11500,"Anniston-Oxford, AL Metro Area",163,-0.576876178000444,32.86,-3.23765389682571,74.27
3,29300,"LaGrange, GA-AL Micro Area",140,-0.422235931939766,41.3,-4.86338453863647,62.81
3,21460,"Enterprise, AL Micro Area",147,-0.463030325677525,39.03,-5.58069710709681,55.89
3,22520,"Florence-Muscle Shoals, AL Metro Area",204,-0.461190490440637,39.35,1.7440303460307,90.49
3,45180,"Talladega-Sylacauga, AL Micro Area",144,-1.06019158740335,9.41,-5.34652341782811,58.7
3,18980,"Cullman, AL Micro Area",178,-0.733793852595423,25.08,-1.13932993779939,82.92
3,37120,"Ozark, AL Micro Area",90,-0.369527396764185,43.46,-7.31744486178814,40.76
3,42820,"Selma, AL Micro Area",138,-0.992954612624288,12.22,-5.71510753402289,55.35
3,22840,"Fort Payne, AL Micro Area",144,-1.26932212752084,4,-4.87347931478113,62.7
3,23460,"Gadsden, AL Metro Area",167,-0.797367755357484,21.95,-4.62224751280712,64.76
3,40770,"Russellville, AL Micro Area",98,-1.27193870317658,3.89,-9.89204989795978,14.16
3,20020,"Dothan, AL Metro Area",209,-0.308679414509261,46.49,1.00636122536406,89.3
3,46220,"Tuscaloosa, AL Metro Area",172,-0.594470104800882,31.89,-2.00912881091014,80.22
3,42460,"Scottsboro, AL Micro Area",145,-0.857891420316794,18.81,-4.90529267756889,62.49
3,19460,"Decatur, AL Metro Area",196,-0.560226605126051,33.84,2.16909591953787,91.03
3,12220,"Auburn-Opelika, AL Metro Area",167,-0.0665455468183623,56.54,-5.29872280897054,59.14
3,26620,"Huntsville, AL Metro Area",167,1.14050022680267,85.73,-5.95128084731568,52.86
3,10700,"Albertville, AL Micro Area",158,-0.834862975744944,20.22,-3.69414747842928,70.92
3,33660,"Mobile, AL Metro Area",256,0.196707835786926,65.95,7.09901650974755,96.86
3,45980,"Troy, AL Micro Area",91,-1.23195948152174,5.3,-10.1525543588268,12.43
3,17980,"Columbus, GA-AL Metro Area",164,0.162407366106778,64.65,-4.19029835887234,67.14
3,10760,"Alexander City, AL Micro Area",120,-0.762677592993805,23.35,-8.27365494773009,30.59
3,11260,"Anchorage, AK Metro Area",238,1.49796801186129,91.03,-12.4740235891178,6.27
3,21820,"Fairbanks-College, AK Metro Area",160,0.694111579538087,78.49,-9.80078855669412,15.24
3,27940,"Juneau, AK Micro Area",139,2.03278078122369,95.68,-10.1640202651846,12.32
3,28540,"Ketchikan, AK Micro Area",116,1.09383399590165,84.54,-9.3050204664668,19.03
3,43420,"Sierra Vista-Douglas, AZ Metro Area",155,0.580720168367151,76.11,-7.98295134049277,32.97
3,22380,"Flagstaff, AZ Metro Area",177,1.14134309306974,85.95,-11.6923702225493,8
3,37740,"Payson, AZ Micro Area",111,-0.286707325531376,47.14,-10.8407749370336,9.95
3,40940,"Safford, AZ Micro Area",112,-0.639589025510187,29.84,-10.3646989409351,11.89
3,38060,"Phoenix-Mesa-Chandler, AZ Metro Area",316,2.17540492222925,96.54,-21.304096563079,1.62
3,29420,"Lake Havasu City-Kingman, AZ Metro Area",219,0.269412767025027,68.32,-3.47938539192092,72.22
3,43320,"Show Low, AZ Micro Area",155,-0.0216388413490509,58.7,-7.7997411357928,35.03
3,46060,"Tucson, AZ Metro Area",213,1.54654566935277,91.68,-11.2425088675143,8.97
3,35700,"Nogales, AZ Micro Area",130,-0.00020235915251865,59.68,-7.59127894439189,36.97
3,39150,"Prescott Valley-Prescott, AZ Metro Area",232,1.03900414352152,83.46,-11.5039568277871,8.32
3,49740,"Yuma, AZ Metro Area",156,-0.16815284294708,52.65,-5.56666297837455,56.22
3,34260,"Mountain Home, AR Micro Area",152,0.145169226341847,64.32,-9.42381075727963,17.95
3,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",236,0.653692680844593,77.73,-0.959288877664266,83.57
3,25460,"Harrison, AR Micro Area",171,-0.697771537292591,27.03,-2.90338789175906,75.46
3,15780,"Camden, AR Micro Area",89,-0.795086149404656,22.05,-9.05567907841073,21.3
3,11660,"Arkadelphia, AR Micro Area",95,-0.673835913795237,28.54,-9.57649384262408,16.97
3,38220,"Pine Bluff, AR Micro Area",137,-0.857075768890783,18.92,-5.63218467723952,55.57
3,31620,"Magnolia, AR Micro Area",105,-1.08867335551618,8.65,-9.52265802474849,17.41
3,27860,"Jonesboro, AR Metro Area",189,-0.681785275598396,28.11,-0.513346622548071,85.08
3,22900,"Fort Smith, AR-OK Metro Area",231,-0.438362514357643,40.76,7.19047269576879,96.97
3,32820,"Memphis, TN-MS-AR Metro Area",270,1.08747243642306,84.32,1.2867418917101,90.05
3,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",255,0.182834193383734,65.08,6.59282985730387,96.54
3,26300,"Hot Springs, AR Metro Area",220,0.383453066085494,71.24,-5.48370952100759,56.97
3,37500,"Paragould, AR Micro Area",134,-0.943097490082182,15.35,-6.62683045431153,46.92
3,31680,"Malvern, AR Micro Area",113,-0.904351245438074,16.76,-9.60565809266889,16.65
3,12900,"Batesville, AR Micro Area",119,-0.836708312992782,19.89,-8.73007092886582,24.97
3,45500,"Texarkana, TX-AR Metro Area",207,-0.569579694833163,33.08,3.5925506238631,92.97
3,14180,"Blytheville, AR Micro Area",102,-1.25164683745597,4.54,-7.51399143670902,38.49
3,40780,"Russellville, AR Micro Area",172,-1.02344958539604,10.81,-0.768987771825168,84.32
3,22620,"Forrest City, AR Micro Area",101,-1.22171977699087,5.62,-9.6264054441322,16.43
3,20980,"El Dorado, AR Micro Area",148,-0.950305791149259,14.7,-4.81062574472411,63.24
3,42620,"Searcy, AR Micro Area",166,-0.848561329029014,19.24,-2.97350989992292,75.35
3,41860,"San Francisco-Oakland-Fremont, CA Metro Area",281,4.10932639978277,100,-43.9360483979366,0.32
3,23820,"Gardnerville Ranchos, NV-CA Micro Area",187,1.85069991846171,94.59,-11.0680410558534,9.3
3,17020,"Chico, CA Metro Area",217,0.558725042728989,75.57,-4.99472026967916,61.73
3,18860,"Crescent City, CA Micro Area",97,0.323273467108284,69.51,-10.842331424292,9.84
3,40900,"Sacramento-Roseville-Folsom, CA Metro Area",237,1.83532107934867,94.16,-11.2838273215573,8.76
3,23420,"Fresno, CA Metro Area",217,0.254680062907814,67.78,2.46943961221499,91.57
3,21700,"Eureka-Arcata, CA Micro Area",181,0.528982197897653,75.14,-9.05929912176673,21.19
3,20940,"El Centro, CA Metro Area",122,-0.260219334078804,48.32,-5.53997263999134,56.32
3,13860,"Bishop, CA Micro Area",115,0.456853366491577,73.95,-10.4316506285323,11.46
3,12540,"Bakersfield-Delano, CA Metro Area",175,-0.23092086691574,50.05,0.00602974923978271,87.24
3,25260,"Hanford-Corcoran, CA Metro Area",88,-0.853432324373914,19.03,-7.8591902289996,34.16
3,17340,"Clearlake, CA Micro Area",130,0.150241098901662,64.43,-9.71014394767171,16
3,45000,"Susanville, CA Micro Area",83,-0.322027179815251,45.51,-10.5653951528737,10.81
3,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",351,3.23776719587592,99.24,-48.8536993599735,0.11
3,46380,"Ukiah, CA Micro Area",175,0.607503648934668,76.76,-9.00793082016512,21.95
3,32900,"Merced, CA Metro Area",139,-0.733530893988557,25.3,-6.28214099220142,50.16
3,41500,"Salinas, CA Metro Area",126,1.0922118170507,84.43,-6.70925508118441,46.38
3,34900,"Napa, CA Metro Area",149,1.59354741141085,91.89,-8.56834455408098,26.7
3,46020,"Truckee-Grass Valley, CA Micro Area",241,1.76871999974761,93.62,-16.5613137111926,2.38
3,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",303,1.02702612210427,83.35,2.72748360058521,91.89
3,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",162,3.86661365102529,99.78,-6.5648821552909,47.78
3,41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",281,3.27708026193405,99.46,-33.1114794107244,0.76
3,44700,"Stockton-Lodi, CA Metro Area",226,0.212954973765366,66.38,3.86167428954352,93.73
3,42020,"San Luis Obispo-Paso Robles, CA Metro Area",234,1.50041988292209,91.14,-12.0068925035395,7.35
3,42200,"Santa Maria-Santa Barbara, CA Metro Area",203,2.58175372348888,98.38,-12.4512377904954,6.38
3,42100,"Santa Cruz-Watsonville, CA Metro Area",239,1.99230778640852,95.24,-14.6814020862532,3.68
3,39820,"Redding, CA Metro Area",226,0.504593899048095,75.03,-3.8356746817503,70.38
