geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
5,111000,Crop Production,332,0.00507595938158635,-1.83483881511358,2.11
5,112000,Animal Production,363,0.00265160687353591,-1.89323999206622,1.69
5,113110,Timber Tract Operations,176,2.52976512467405e-05,-0.920634983257818,16.28
5,113210,Forest Nurseries and Gathering of Forest Products,158,1.70371936967844e-05,-1.07052543846386,12.58
5,113310,Logging,265,0.000357000913308311,-1.20316784274557,9.62
5,114111,Finfish Fishing,126,6.95656727141094e-05,-0.0726167094898769,49.58
5,114112,Shellfish Fishing,89,6.79996276369302e-05,-0.15870303423974,46.09
5,114119,Other Marine Fishing,71,9.52247189786605e-06,0.461722293276121,72.09
5,114210,Hunting and Trapping,243,3.84857011823996e-05,-1.55388334499043,4.86
5,115111,Cotton Ginning,93,3.50151617256472e-05,-1.76069252583878,2.54
5,115112,"Soil Preparation, Planting, and Cultivating",304,0.000198233771912384,-2.0002970583982,1.27
5,115113,"Crop Harvesting, Primarily by Machine",157,6.93591612753605e-05,-2.13504080464747,0.63
5,115114,Postharvest Crop Activities (except Cotton Ginning),129,0.000493057532870713,-1.71383102423712,3.28
5,115115,Farm Labor Contractors and Crew Leaders,296,0.00196368858891904,-2.19025209476914,0.53
5,115116,Farm Management Services,126,0.000132534452245962,-1.81152727927557,2.33
5,115210,Support Activities for Animal Production,313,0.000251450622392205,-1.66132712326735,3.91
5,115310,Support Activities for Forestry,214,0.000144282658539233,-1.11278171006631,11.31
5,211120,Crude Petroleum Extraction,107,0.000485347772490754,-2.34271177659927,0.21
5,211130,Natural Gas Extraction,107,0.000218982435077794,-1.85042270807617,1.9
5,212114,Surface Coal Mining,53,0.000105544554487251,-1.6256630567192,4.12
5,212115,Underground Coal Mining,35,0.000133067940129397,-1.69961942708503,3.49
5,212210,Iron Ore Mining,8,3.04661736443172e-05,-0.755107210517366,22.3
5,212220,Gold Ore and Silver Ore Mining,23,9.45191382296018e-05,0.119767924557338,60.78
5,212230,"Copper, Nickel, Lead, and Zinc Mining",23,0.000115497258549178,-0.119780504507368,47.89
5,212290,Other Metal Ore Mining,41,2.75291220709995e-05,-0.595062816738603,29.07
