geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
4,388,"Montgomery-Selma, AL CSA",220,-0.235741170359208,51.93,1.96394309703939,55.25
4,380,"Mobile-Daphne-Fairhope, AL CSA",288,0.27253057120836,71.27,0.698914041585736,48.62
4,142,"Birmingham-Cullman-Talladega, AL CSA",290,-0.545897852492384,33.15,17.0904901575829,90.61
4,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",373,1.2305184177519,86.74,-17.5347345693202,8.84
4,222,"Dothan-Enterprise-Ozark, AL CSA",202,-0.6253410218704,29.83,1.63566929239504,53.59
4,250,"Florence-Muscle Shoals-Russellville, AL CSA",212,-0.869968881547192,16.57,4.77691380373944,64.64
4,290,"Huntsville-Decatur-Albertville, AL-TN CSA",218,-0.850815105009419,17.68,6.7613956962245,72.93
4,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",304,-0.797800374599103,22.1,24.6077117511841,95.58
4,194,"Columbus-Auburn-Opelika, GA-AL CSA",179,-0.511183906800995,36.46,-0.593977381132168,40.88
4,429,"Phoenix-Mesa, AZ CSA",316,2.00799232749468,95.03,-32.9795316614699,3.31
4,536,"Tucson-Nogales, AZ CSA",218,1.26803701239558,88.4,-10.0280482062342,14.36
4,340,"Little Rock-North Little Rock, AR CSA",266,-0.395060079306782,40.88,8.53434909699568,76.8
4,308,"Jonesboro-Paragould, AR CSA",205,-0.785004795021391,22.65,2.63133912916339,59.67
4,368,"Memphis-Clarksdale-Forrest City, TN-MS-AR CSA",275,0.305010620279586,72.93,2.14591452389392,56.91
4,284,"Hot Springs-Malvern, AR CSA",225,0.195497803507932,66.3,-2.49419984793003,33.15
4,488,"San Jose-San Francisco-Oakland, CA CSA",274,3.18601181174142,98.9,-38.2022087413842,2.76
4,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA CSA",306,0.637395158807381,79.56,-4.16802407344935,22.65
4,152,"Brookings-Crescent City, OR-CA CSA",139,0.673098452653607,80.11,-5.19416980087774,19.34
4,472,"Sacramento-Roseville, CA CSA",251,1.57978664406739,91.16,-14.7208763793919,9.94
4,260,"Fresno-Hanford-Corcoran, CA CSA",199,0.0114955676296255,61.33,-0.442068576423651,41.44
4,348,"Los Angeles-Long Beach, CA CSA",352,2.41478973313764,96.13,-48.964521630071,1.66
4,454,"Redding-Red Bluff, CA CSA",227,0.247711079675589,69.06,-2.50688150552159,32.6
4,216,"Denver-Aurora-Greeley, CO CSA",345,2.41911538653336,96.69,-49.6758090311047,1.1
4,233,"Edwards-Rifle, CO CSA",182,2.29049408173613,95.58,-10.9055781456292,13.26
4,444,"Pueblo-Cañon City, CO CSA",205,0.030514376374112,62.98,-3.5193968664634,25.97
4,405,"New Haven-Hartford-Waterbury, CT CSA",261,0.265139539985807,70.17,3.17771437080768,60.77
4,408,"New York-Newark, NY-NJ-CT-PA CSA",285,3.24771734583308,99.45,-45.3738880239068,2.21
