geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
4,111000,Crop Production,74,0.00507595938158635,-0.883366610217109,18.29
4,112000,Animal Production,70,0.00265160687353591,-1.42304783712877,2.64
4,113110,Timber Tract Operations,46,2.52976512467405e-05,-0.682897836847821,27.8
4,113210,Forest Nurseries and Gathering of Forest Products,40,1.70371936967844e-05,-0.846059316751654,19.45
4,113310,Logging,64,0.000357000913308311,-0.911242418595331,16.81
4,114111,Finfish Fishing,30,6.95656727141094e-05,0.796477261190418,79.7
4,114112,Shellfish Fishing,22,6.79996276369302e-05,0.811961374915368,80.02
4,114119,Other Marine Fishing,23,9.52247189786605e-06,0.864862511115378,81.08
4,114210,Hunting and Trapping,47,3.84857011823996e-05,-0.742091424627723,24
4,115111,Cotton Ginning,35,3.50151617256472e-05,-0.634067783378212,30.76
4,115112,"Soil Preparation, Planting, and Cultivating",72,0.000198233771912384,-1.13249158865109,9.3
4,115113,"Crop Harvesting, Primarily by Machine",37,6.93591612753605e-05,-0.195013795596325,50.53
4,115114,Postharvest Crop Activities (except Cotton Ginning),31,0.000493057532870713,-0.0256054093315903,57.19
4,115115,Farm Labor Contractors and Crew Leaders,33,0.00196368858891904,0.291391765084588,68.18
4,115116,Farm Management Services,28,0.000132534452245962,-0.279502556391284,47.25
4,115210,Support Activities for Animal Production,60,0.000251450622392205,-1.12688049072959,9.51
4,115310,Support Activities for Forestry,49,0.000144282658539233,-0.401999945694041,41.65
4,211120,Crude Petroleum Extraction,22,0.000485347772490754,0.0864378356977516,60.89
4,211130,Natural Gas Extraction,27,0.000218982435077794,-0.328341799230193,44.29
4,212114,Surface Coal Mining,12,0.000105544554487251,-1.53448391458234,1.48
4,212115,Underground Coal Mining,10,0.000133067940129397,-1.74821623678515,0.32
4,212210,Iron Ore Mining,3,3.04661736443172e-05,-0.80842642391094,21.46
4,212220,Gold Ore and Silver Ore Mining,7,9.45191382296018e-05,1.11360303994437,86.36
4,212230,"Copper, Nickel, Lead, and Zinc Mining",8,0.000115497258549178,1.6132340178221,92.07
4,212290,Other Metal Ore Mining,8,2.75291220709995e-05,1.06847722507232,85.31
4,212311,Dimension Stone Mining and Quarrying,32,4.49334472144487e-05,-0.752170833586004,23.47
4,212312,Crushed and Broken Limestone Mining and Quarrying,68,0.000138311036102077,-1.32776038949234,4.65
4,212313,Crushed and Broken Granite Mining and Quarrying,23,3.6816400385846e-05,0.616261476061029,75.9
4,212319,Other Crushed and Broken Stone Mining and Quarrying,36,4.77328244952671e-05,0.112627072542078,61.95
4,212321,Construction Sand and Gravel Mining,75,0.000193145559518765,-0.602180052925879,31.71
4,212322,Industrial Sand Mining,25,5.17540611220166e-05,-0.202574974248185,50.21
4,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",16,3.63460132198068e-05,0.40773171769875,71.14
