county_geoid,state_fips,cbsa_geoid,csa_geoid,commuting_zone_geoid,county_in_cbsa,county_in_csa
31039,31,,,170,FALSE,FALSE
53069,53,,,427,FALSE,FALSE
35011,35,,,352,FALSE,FALSE
31109,31,30700,339,337,TRUE,TRUE
31129,31,,,324,FALSE,FALSE
46099,46,43620,,275,TRUE,FALSE
48327,48,,,509,FALSE,FALSE
06091,06,,,49,FALSE,FALSE
21053,21,,,214,FALSE,FALSE
39063,39,22300,248,409,TRUE,TRUE
48189,48,38380,352,488,TRUE,TRUE
01027,01,,,6,FALSE,FALSE
48011,48,11100,108,479,TRUE,TRUE
39003,39,30620,338,396,TRUE,TRUE
13189,13,12260,,99,TRUE,FALSE
55111,55,12660,357,555,TRUE,TRUE
05137,05,,,33,FALSE,FALSE
41063,41,,,439,FALSE,FALSE
42007,42,38300,430,441,TRUE,TRUE
28061,28,29860,279,284,TRUE,TRUE
29083,29,,,290,FALSE,FALSE
08109,08,,,55,FALSE,FALSE
37037,37,20500,450,381,TRUE,TRUE
49033,49,21740,,111,TRUE,FALSE
40001,40,,,411,FALSE,FALSE
39085,39,17410,184,398,TRUE,TRUE
51775,51,40220,,528,TRUE,FALSE
51121,51,13980,,528,TRUE,FALSE
47065,47,16860,174,101,TRUE,TRUE
35035,35,10460,,355,TRUE,FALSE
35003,35,,,17,FALSE,FALSE
01091,01,,,4,FALSE,FALSE
56023,56,,,111,FALSE,FALSE
29011,29,,,178,FALSE,FALSE
48057,48,38920,544,491,TRUE,TRUE
51735,51,47260,545,536,TRUE,TRUE
54075,54,,,545,FALSE,FALSE
48077,48,48660,,416,TRUE,FALSE
51095,51,47260,545,536,TRUE,TRUE
31101,31,,,326,FALSE,FALSE
31137,31,,,332,FALSE,FALSE
22019,22,29340,324,219,TRUE,TRUE
22111,22,33740,384,223,TRUE,TRUE
40135,40,22900,,31,TRUE,FALSE
01049,01,22840,290,8,TRUE,TRUE
36101,36,18500,236,364,TRUE,TRUE
42053,42,,,363,FALSE,FALSE
22105,22,25220,132,226,TRUE,TRUE
51179,51,47900,548,531,TRUE,TRUE
26109,26,31940,361,251,TRUE,TRUE
18073,18,16980,176,154,TRUE,TRUE
13025,13,15260,,97,TRUE,FALSE
